"","sciname","FoodI","FoodII","FoodIII","Commoness","PredatorStage","SpecCode"
"865","Chlorurus strongylocephalus","plants","other plants","benthic algae/weeds",NA,"juv./adults",12833
"866","Cryptotomus roseus","plants","other plants","benthic algae/weeds",NA,"juv./adults",3674
"867","Hipposcarus harid","plants","other plants","benthic algae/weeds",NA,"juv./adults",7906
"868","Hipposcarus longiceps","plants","other plants","benthic algae/weeds",NA,"juv./adults",5539
"869","Hipposcarus longiceps","zoobenthos","other benth. invertebrates","n.a./other benth. invertebrates",NA,"juv./adults",5539
"870","Leptoscarus vaigiensis","detritus","detritus","debris",NA,"recruits/juv.",4360
"871","Leptoscarus vaigiensis","plants","other plants","benthic algae/weeds",NA,"adults",4360
"872","Leptoscarus vaigiensis","plants","other plants","benthic algae/weeds",NA,"recruits/juv.",4360
"873","Leptoscarus vaigiensis","plants","other plants","benthic algae/weeds",NA,"juv./adults",4360
"874","Leptoscarus vaigiensis","plants","other plants","benthic algae/weeds",NA,"juv./adults",4360
"875","Leptoscarus vaigiensis","zoobenthos","cnidarians","n.a./other polyps",NA,"juv./adults",4360
"876","Leptoscarus vaigiensis","zooplankton","plank. crust.","plank. copepods",NA,"larvae",4360
"877","Nicholsina denticulata","plants","other plants","benthic algae/weeds",NA,"juv./adults",13980
"878","Nicholsina denticulata","plants","other plants","benthic algae/weeds",NA,"juv./adults",13980
"879","Nicholsina usta usta","plants","other plants","benthic algae/weeds",NA,"juv./adults",1151
"880","Scarus altipinnis","plants","other plants","benthic algae/weeds",NA,"juv./adults",5540
"881","Scarus caudofasciatus","plants","other plants","benthic algae/weeds",NA,"juv./adults",7908
"882","Scarus chameleon","plants","other plants","benthic algae/weeds",NA,"juv./adults",5543
"883","Scarus coeruleus","plants","other plants","benthic algae/weeds",NA,"juv./adults",1153
"884","Scarus compressus","plants","other plants","benthic algae/weeds",NA,"juv./adults",13981
"885","Scarus dimidiatus","plants","other plants","benthic algae/weeds",NA,"juv./adults",4973
"886","Scarus dimidiatus","plants","other plants","benthic algae/weeds",NA,"juv./adults",4973
"887","Scarus falcipinnis","plants","other plants","benthic algae/weeds",NA,"juv./adults",7911
"888","Scarus ferrugineus","plants","other plants","benthic algae/weeds",NA,"juv./adults",14380
"889","Scarus festivus","plants","other plants","benthic algae/weeds",NA,"juv./adults",5544
"890","Scarus flavipectoralis","plants","other plants","benthic algae/weeds",NA,"juv./adults",4968
"891","Scarus forsteni","plants","other plants","benthic algae/weeds",NA,"juv./adults",5545
"892","Scarus frenatus","plants","other plants","benthic algae/weeds",NA,"juv./adults",5546
"893","Scarus ghobban","plants","other plants","benthic algae/weeds",NA,"juv./adults",5548
"894","Scarus globiceps","plants","other plants","benthic algae/weeds",NA,"juv./adults",4970
"895","Scarus longipinnis","plants","other plants","benthic algae/weeds",NA,"juv./adults",4981
"896","Scarus niger","plants","other plants","benthic algae/weeds",NA,"juv./adults",5550
"897","Scarus obishime","plants","other plants","benthic algae/weeds",NA,"juv./adults",12831
"898","Scarus perrico","plants","other plants","benthic algae/weeds",NA,"juv./adults",8392
"899","Scarus prasiognathos","plants","other plants","benthic algae/weeds",NA,"juv./adults",4971
"900","Scarus psittacus","plants","other plants","benthic algae/weeds",NA,"juv./adults",5553
"901","Scarus quoyi","plants","other plants","benthic algae/weeds",NA,"juv./adults",5554
"902","Scarus rivulatus","plants","other plants","benthic algae/weeds",NA,"juv./adults",4969
"903","Scarus rivulatus","zoobenthos","cnidarians","hard corals",NA,"juv./adults",4969
"904","Scarus rubroviolaceus","plants","other plants","benthic algae/weeds",NA,"juv./adults",5555
"905","Scarus scaber","plants","other plants","benthic algae/weeds",NA,"juv./adults",7913
"906","Scarus schlegeli","plants","other plants","benthic algae/weeds",NA,"recruits/juv.",4975
"907","Scarus schlegeli","plants","other plants","benthic algae/weeds",NA,"juv./adults",4975
"908","Scarus schlegeli","zoobenthos","benth. crust.","n.a./other benth. crustaceans",100,"recruits/juv.",4975
"909","Scarus schlegeli","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",NA,"recruits/juv.",4975
"910","Scarus spinus","plants","other plants","benthic algae/weeds",NA,"juv./adults",4974
"911","Scarus taeniopterus","plants","other plants","benthic algae/weeds",NA,"juv./adults",1156
"912","Scarus tricolor","plants","other plants","benthic algae/weeds",NA,"juv./adults",6438
"913","Scarus vetula","plants","other plants","benthic algae/weeds",NA,"juv./adults",1157
"914","Scarus viridifucatus","plants","other plants","benthic algae/weeds",NA,"juv./adults",7914
"915","Sparisoma atomarium","plants","other plants","benthic algae/weeds",NA,"juv./adults",3675
"916","Sparisoma aurofrenatum","plants","other plants","benthic algae/weeds",NA,"juv./adults",1158
"917","Sparisoma choati","plants","other plants","benthic algae/weeds",NA,"juv./adults",66403
"918","Sparisoma choati","plants","other plants","benthic algae/weeds",NA,"juv./adults",66403
"919","Sparisoma chrysopterum","plants","phytoplankton","blue-green algae",NA,"recruits/juv.",1159
"920","Sparisoma chrysopterum","plants","phytoplankton","diatoms",NA,"recruits/juv.",1159
"921","Sparisoma cretense","plants","other plants","benthic algae/weeds",NA,"juv./adults",13025
"922","Sparisoma cretense","zoobenthos","other benth. invertebrates","n.a./other benth. invertebrates",NA,"juv./adults",13025
"923","Sparisoma cretense","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",NA,"juv./adults",13025
"924","Sparisoma radians","plants","other plants","benthic algae/weeds",NA,"juv./adults",3676
"925","Sparisoma tuiupiranga","plants","other plants","benthic algae/weeds",NA,"juv./adults",61816
"926","Sparisoma tuiupiranga","plants","other plants","benthic algae/weeds",NA,"juv./adults",61816
"927","Sparisoma tuiupiranga","plants","other plants","benthic algae/weeds",NA,"juv./adults",61816
"928","Sparisoma tuiupiranga","plants","other plants","benthic algae/weeds",NA,"juv./adults",61816
"929","Sparisoma viride","plants","other plants","benthic algae/weeds",NA,"juv./adults",1161
"930","Haletta semifasciata","nekton","finfish","bony fish",NA,"juv./adults",12836
"931","Haletta semifasciata","nekton","finfish","bony fish",NA,"juv./adults",12836
"932","Haletta semifasciata","plants","other plants","benthic algae/weeds",NA,"juv./adults",12836
"933","Haletta semifasciata","plants","other plants","benthic algae/weeds",NA,"juv./adults",12836
"934","Haletta semifasciata","zoobenthos","benth. crust.","amphipods",NA,"juv./adults",12836
"935","Haletta semifasciata","zoobenthos","benth. crust.","crabs",NA,"juv./adults",12836
"936","Haletta semifasciata","zoobenthos","mollusks","gastropods",NA,"juv./adults",12836
"937","Haletta semifasciata","zoobenthos","worms","polychaetes",NA,"juv./adults",12836
"938","Heteroscarus acroptilus","detritus","detritus","debris",NA,"adults",12837
"939","Heteroscarus acroptilus","others","others","n.a./others",NA,"adults",12837
"940","Heteroscarus acroptilus","plants","other plants","benthic algae/weeds",NA,"adults",12837
"941","Heteroscarus acroptilus","plants","other plants","benthic algae/weeds",NA,"adults",12837
"942","Heteroscarus acroptilus","plants","other plants","benthic algae/weeds",NA,"adults",12837
"943","Heteroscarus acroptilus","plants","other plants","benthic algae/weeds",NA,"adults",12837
"944","Heteroscarus acroptilus","plants","other plants","benthic algae/weeds",NA,"adults",12837
"945","Heteroscarus acroptilus","plants","other plants","benthic algae/weeds",NA,"adults",12837
"946","Heteroscarus acroptilus","plants","other plants","benthic algae/weeds",NA,"adults",12837
"947","Heteroscarus acroptilus","plants","phytoplankton","blue-green algae",NA,"adults",12837
"948","Heteroscarus acroptilus","zoobenthos","benth. crust.","n.a./other benth. crustaceans",NA,"adults",12837
"949","Heteroscarus acroptilus","zoobenthos","benth. crust.","n.a./other benth. crustaceans",NA,"adults",12837
"950","Heteroscarus acroptilus","zoobenthos","mollusks","gastropods",NA,"adults",12837
"951","Heteroscarus acroptilus","zoobenthos","sponges/tunicates","sponges",NA,"adults",12837
"952","Heteroscarus acroptilus","zoobenthos","worms","polychaetes",NA,"adults",12837
"953","Heteroscarus acroptilus","zooplankton","jellyfish/hydroids","jellyfish/hydroids",NA,"adults",12837
"954","Odax pullus","plants","other plants","benthic algae/weeds",NA,"adults",12840
"955","Odax pullus","plants","other plants","benthic algae/weeds",NA,"adults",12840
"956","Odax pullus","plants","other plants","benthic algae/weeds",NA,"juv./adults",12840
"957","Odax pullus","plants","other plants","benthic algae/weeds",NA,"adults",12840
"958","Odax pullus","plants","other plants","benthic algae/weeds",NA,"adults",12840
"959","Odax pullus","zoobenthos","benth. crust.","n.a./other benth. crustaceans",NA,"adults",12840
"960","Odax pullus","zoobenthos","benth. crust.","n.a./other benth. crustaceans",NA,"adults",12840
"961","Odax pullus","zoobenthos","mollusks","gastropods",NA,"adults",12840
"962","Odax pullus","zooplankton","jellyfish/hydroids","jellyfish/hydroids",NA,"adults",12840
