"","sciname","SpecCode","IUCN_Code","Resilience","BodyShapeI","DemersPelag","DepthRangeShallow","DepthRangeDeep","LongevityWild","Vulnerability","Length","CommonLength","Weight","Importance","PriceCateg","PriceReliability","Aquarium","AquariumFishII","Comments"
"491","Scarus festivus",5544,"LC","Medium","elongated","reef-associated",3,30,NA,30.78,45,NA,NA,"minor commercial","high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"Found in clear lagoon and seaward reefs (Ref. 1602).  Feeds on benthic algae (Ref. 3488).  Uncommon (Ref. 90102)."
"492","Scarus flavipectoralis",4968,"LC","High","short and / or deep","reef-associated",2,40,NA,28.56,40,NA,NA,NA,"high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","Inhabits lagoon and channel reefs, usually deeper 20 m (Ref. 9710).  Minimum depth of 2 m reported from Ref. 2689."
"493","Scarus forsteni",5545,"LC","Medium","short and / or deep","reef-associated",3,30,NA,34.38,55,NA,2500,"commercial","high","Very questionable: based on ex-vessel price for species in this family",NA,NA,"Often found on exposed outer lagoon and seaward reefs, usually in rich coral habitats.  Generally solitary. Feeds on benthic algae (Ref. 89972).  In Hong Kong live fish markets (Ref. 27253)."
"494","Scarus frenatus",5546,"LC","Medium","fusiform / normal","reef-associated",1,25,20,23.6,47,NA,NA,"commercial","high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","Usually found on exposed outer reefs, sometimes in very shallow water (Ref. 2334).  Juveniles occur among coral and rubble of lagoon reefs.  Grazes on benthic algae (Ref. 30573).  Generally solitary (Ref. 1602).  Often in schools of mixed species when feeding (Ref. 48636)."
"495","Scarus fuscocaudalis",58508,"LC","High","elongated","reef-associated",20,45,NA,20.98,25,NA,NA,NA,"high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"Found in coastal to outer reef crests and along drop-offs, usually in small groups (Ref. 48636); occurs at depths greater than 20 m (Ref. 40928)."
"496","Scarus fuscopurpureus",14381,"LC","High",NA,"reef-associated",2,20,NA,27.29,38,NA,NA,"commercial","high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"Occurs in shallow water, often over sand or weed bottoms with coral heads (Ref. 9710).  Found in pairs or small groups (Ref. 9710)."
"497","Scarus ghobban",5548,"LC","Medium","fusiform / normal","reef-associated",2,36,13,37.31,90,30,NA,"commercial","high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","Adults inhabit lagoon and seaward reefs (Ref. 1602), in slopes and drop-offs (Ref. 48636), often solitary but may sometimes occur in small groups (Ref. 9710, 48636).  Males common in atolls where they live mainly around the inner and outer edges of barrier reefs at depths of about 30 ft; females prefer deeper habitat (Ref. 4821).  Small juveniles in groups are found inshore on algae reef habitat (Ref. 9710, 48636) and sometimes enter silty, murky environments (Ref. 5490).  Feed by scraping algae from rocks and corals (Ref. 5227).  Are protogynous hermaphrodites (Ref. 55367).  Caught with nets and other types of artisanal gear.  Marketed fresh (Ref. 5284).  In the Hong Kong live fish markets (Ref. 27253).  Minimum depth reported from Ref. 90102."
"498","Scarus globiceps",4970,"LC","Medium","elongated","reef-associated",1,30,NA,30.78,45,NA,500,"commercial","high","Very questionable: based on ex-vessel price for species in this family","commercial",NA,"Inhabits lagoons, seaward reefs, and reef flats (Ref. 90102).  More common in outer reef habitats than in protected waters.  Spawns in groups or in pairs. Feeds on benthic algae (Ref. 89972). Caught mainly with traps, nets and other types of artisanal gear."
"499","Scarus gracilis",60441,"N.E.","Medium",NA,"reef-associated",NA,NA,NA,46.64,NA,NA,NA,"of no interest",NA,NA,"never/rarely","",NA
"500","Scarus guacamaia",1155,"NT","Medium","fusiform / normal","reef-associated",3,25,NA,42.46,120,70,20000,"minor commercial","high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","Inhabits coral reefs.  Young are commonly found in mangrove areas.  Feeds mainly on benthic algae (Ref. 3802).  Known to have a home cave to which it retires at night or when danger threatens; makes use of the sun as an aid to locating the cave."
"501","Scarus hoefleri",5018,"LC","Medium","fusiform / normal","demersal",1,15,NA,35.68,60,40,NA,"commercial","high","Very questionable: based on ex-vessel price for species in this family","never/rarely","","Inhabits rocky coastal areas (Ref. 7360).  A herbivorous species with specialized pharyngeal bones and muscles (Ref. 52194, 52195). Occurs in shallow water (Ref. 27000)."
"502","Scarus hypselopterus",12707,"NT","High","elongated","reef-associated",10,30,NA,24.65,31,NA,NA,"commercial","high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","A rare species found in coastal and outer reefs with dense coral cover (Ref. 9710); often silty habitats (Ref. 48636)."
"503","Scarus iseri",1154,"LC","High","fusiform / normal","reef-associated",3,25,NA,17.19,35,18,NA,"minor commercial","high","Very questionable: based on ex-vessel price for species in this family","commercial",NA,"Found over shallow, clear waters, generally over <i>Thalassia</i> beds (Ref. 13628).  Also found rocky or coral areas (Ref. 13628).  A schooling species.  Feeds on plants.  A protogynous hermaphrodite (Ref. 55367).  Super males spawn individually with striped females, while sexually mature males in the striped phase spawn in aggregation."
"504","Scarus koputea",4980,"LC","High",NA,"reef-associated",0,18,NA,24.65,31,NA,NA,"of no interest",NA,NA,"never/rarely",NA,"Occurs in inner bays and outer reef slopes (Ref. 9710). Feeds on benthic algae (Ref. 89972)."
"505","Scarus longipinnis",4981,"LC","High","fusiform / normal","reef-associated",10,55,NA,28.56,40,NA,NA,NA,"high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"Inhabits seaward reefs (Ref. 9710). Feeds on benthic algae (Ref. 89972)."
"506","Scarus maculipinna",63577,"DD","High","elongated","reef-associated",3,15,NA,15.01,19.05,NA,NA,NA,NA,NA,"never/rarely",NA,"Occurs in shallow water on coral reefs with high coral cover; primarily on reef crest and slope habitats (Ref. 72409)."
"507","Scarus niger",5550,"LC","High","fusiform / normal","reef-associated",0,20,NA,19.91,40,NA,NA,"commercial","high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","Inhabits coral-rich areas of clear lagoons, channels, and outer reef slopes (Ref. 9710).  Generally solitary (Ref. 1602).  Juveniles in small groups on algae and coral reefs inshore (Ref. 48636).  Feeds on benthic algae (Ref. 30573).  Males maintain small harems and pair spawn (Ref. 1602).  Minimum depth reported from Ref. 9710."
"508","Scarus obishime",12831,"DD","Medium",NA,"reef-associated",3,55,NA,50.58,70,NA,NA,NA,"high","Very questionable: based on ex-vessel price for species in this family",NA,NA,"Usually seen at depths of 25 m or more.  Feeds on benthic algae during daytime."
"509","Scarus oviceps",5551,"LC","High","elongated","reef-associated",1,20,NA,26.02,35,NA,NA,"commercial","high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on breeding","Inhabits lagoon and seaward reefs to at least 10 m (Ref. 9710, 48636).  Also found in lagoons and coastal and outer reefs to 20 m deep (Ref. 90102). Feeds on benthic algae (Ref. 89972). Occurs singly (Ref. 4821).  May also form groups (Ref. 90102)."
"510","Scarus ovifrons",23512,"DD","Medium","fusiform / normal","reef-associated",NA,NA,NA,46.4,78,NA,NA,NA,"high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"Inhabits rocky areas of coastal waters.  Found in small groups (Ref. 9710)."
"511","Scarus perrico",8392,"LC","Medium",NA,"reef-associated",3,36,NA,40.2,76,NA,NA,NA,"high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","Common in shallow coastal waters (Ref. 9338).  Occurs in small aggregations over reefs.  Feeds by scraping the substrate for coralline red algae, and probably on coral polyps.  Only caught occasionally (Ref. 9338)."
"512","Scarus persicus",14383,"LC","Medium","fusiform / normal","benthopelagic",NA,NA,NA,32.71,50,NA,1500,"minor commercial","high","Reliable: based on ex-vessel price for this species","never/rarely",NA,NA
"513","Scarus prasiognathos",4971,"LC","Medium","elongated","reef-associated",1,25,NA,37.72,70,NA,NA,"commercial","high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","Found in seaward slopes and reef flats (Ref. 90102).  Usually associated with outer reefs but will enter shallow water in protected areas.  Often in large schools (Ref. 9710).  Grazes on benthic algae (Ref. 3488).  Also caught with nets and other types of artisanal gear (Ref. 2689).  Minimum depth of 1 m reported from Ref. 30874."
"514","Scarus psittacus",5553,"LC","High","fusiform / normal","reef-associated",2,25,5,15.81,30,NA,NA,"commercial","high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","Inhabit reef flats and lagoon and seaward reefs to at least 25 m depth (Ref. 1602).  Found over corals (Ref. 5213, 58652).  Benthopelagic (Ref. 58302).  Initial-phase fish stage usually form small feeding schools (Ref. 2334).  Graze on benthic algae (Ref. 3488).  Secrete a mucus cocoon (Ref. 1602)."
"515","Scarus quoyi",5554,"LC","High","elongated","reef-associated",2,18,NA,28.56,40,NA,NA,"commercial","high","Very questionable: based on ex-vessel price for species in this family",NA,NA,"Inhabits coral-rich areas of outer channels and seaward reefs (Ref. 9710).  Occurs singly or in small groups (Ref. 9710) over intertidal flats to graze on algae during high water mark (Ref. 48636)."
"516","Scarus rivulatus",4969,"LC","Medium","fusiform / normal","reef-associated",1,20,NA,39.33,40,20,NA,"commercial","high","Very questionable: based on ex-vessel price for species in this family",NA,NA,"Found in silty coastal and offshore areas to 20 m deep (Ref. 90102).   Inhabits rocky and coral reefs from tidal pools to at least 10 m deep.  Form schools with 30 to 40 individuals.  Grazes on benthic algae and corals (Ref. 2935).  Reproductively active terminal males become bicolored (Ref. 37816)."
"517","Scarus rubroviolaceus",5555,"LC","Medium","fusiform / normal","reef-associated",1,36,20,51.54,70,NA,NA,"commercial","high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","Occurs solitary or in pairs in seaward reefs (Ref. 90102).  Usually over rocky or coral substrates, at boulder-strewn slopes at the base of high-island cliffs where it may occur in large schools.  Large adult usually on upper parts of deep slopes, but seen to about 35 m depth (Ref. 48636).  Benthopelagic (Ref. 58302).  Feeds on benthic algae (Ref. 30573).  A protogynous hermaphrodite (Ref. 55367).  An uncommon species (Ref. 9338)."
"518","Scarus russelii",7912,"LC","Medium",NA,"reef-associated",6,15,NA,33.28,51,NA,1100,"commercial","high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"Inhabits shallow coastal reefs (Ref. 9710) and outer reef slopes at depths of 6-15 m (Ref. 90102).  Feeds on algae by grazing on sand or coral rubble (Ref. 9710).  Wary and usually found singly (Ref. 9710).  Often seen in markets."
"519","Scarus scaber",7913,"LC","High","fusiform / normal","reef-associated",1,20,NA,20.37,37,NA,900,"commercial","high","Very questionable: based on ex-vessel price for species in this family",NA,NA,"Inhabits shallow lagoon reefs, in areas with dense coral cover (Ref. 9710).  Individuals in the initial phase form groups (Ref. 9710).  Feeds on algae by incessant grazing in coral reefs (Ref. 5503).  Marked sexual dimorphism."
"520","Scarus schlegeli",4975,"LC","Medium","fusiform / normal","reef-associated",1,50,NA,30.75,40,NA,NA,"commercial","high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","Inhabits lagoon and seaward reefs from 1 to over 50 m depth.  Adults are common in areas with rich coral and high vertical relief (Ref. 9710, 48636).  A solitary species (Ref. 90102).  Juveniles may school with other species.  Form feeding aggregations on rubble and mixed rubble-coral slopes rather than on flats.  Females often in schools of mixed species when feeding, males usually seen separate (Ref. 48636). Feeds on benthic algae (Ref. 89972). Males exhibit territorial tendencies."
"521","Scarus spinus",4974,"LC","High","elongated","reef-associated",2,25,NA,24.06,30,NA,NA,NA,"high","Very questionable: based on ex-vessel price for species in this family",NA,NA,"Inhabits coral-rich areas of outer lagoon and seaward reefs (Ref. 9710).  Usually solitary (Ref. 9710).  Females usually in small groups with a male nearby; they may mix with females of similar species (Ref. 48636).  An uncommon fish patchily distributed through much of its range."
"522","Scarus taeniopterus",1156,"LC","High","fusiform / normal","reef-associated",2,25,NA,26.02,35,22,NA,"minor commercial","high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","Found on bottoms with coral or rock (Ref. 13628).  Juveniles often occur in association with <i>Thalassia</i>.  Forms large feeding aggregations and feeds on plants.  Sleeps in a mucus cocoon (Ref. 9710)."
"523","Scarus tricolor",6438,"LC","High","fusiform / normal","reef-associated",2,25,NA,26.88,26.6,17.5,2500,"commercial","high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","Inhabits lagoon and seaward reefs, in areas with dense coral growth (Ref. 9710) up to at least 30 m.  Usually solitary, sometimes in groups (Ref. 9710).  Feeds on benthic algae (Ref. 3488)."
"524","Scarus trispinosus",59493,"EN","Medium",NA,"reef-associated",1,30,NA,34.53,35.5,NA,NA,NA,"high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"Occurs in coral, algal and rocky reefs and on algal beds (Ref. 40827)."
"525","Scarus vetula",1157,"LC","High",NA,"reef-associated",3,25,NA,27.88,61,32,NA,"minor commercial","high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","Inhabits coral reefs and adjacent habitats.  Feeds on algae scraped from rocks or dead coral.  Sleeps in a mucus cocoon (Ref. 9710).  Often seen in groups of one super male with several young adults, most of which are probably females (Ref. 26938).  A protogynous hermaphrodite (Ref. 55367)."
"526","Scarus viridifucatus",7914,"LC","Medium",NA,"reef-associated",1,15,NA,30.78,45,NA,600,"commercial","high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"Found solitary (Ref. 90102) in shallow reefs, on flats and reef fronts or rocky shores of high islands (Ref. 9710); also on mixed algae rubble and rich coral patches (Ref. 48636).  Feeds on benthic algae (Ref. 30573).  Caught with nets and other kinds of artisanal gear.  Sold mostly fresh in markets (Ref. 3488).  Close relative of <i>S. spinus</i> of the Pacific but has allopatric distribution (except Bali) (Ref. 90102)."
"527","Scarus xanthopleura",5541,"LC","Medium","fusiform / normal","reef-associated",3,30,NA,34.31,54,NA,NA,NA,"high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"Uncommon inhabitant of clear lagoon and seaward reefs, usually seen along drop-offs (Ref. 9710).  Solitary."
"528","Scarus zelindae",59490,"DD","High","short and / or deep","reef-associated",NA,NA,NA,32.4,33.2,NA,NA,NA,"high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,NA
"529","Scarus zufar",26221,"DD","Medium","fusiform / normal","demersal",8,8,NA,32.71,50,NA,NA,NA,"high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"Found along exposed rocky shores."
"530","Semicossyphus darwini",12859,"DD","Low","fusiform / normal","reef-associated",3,100,NA,58.16,70,NA,4000,"of potential interest","very high","Very questionable: based on ex-vessel price for species in this family",NA,NA,"Caught in both shallow and deep waters.  Its strong dentition makes it an opportunistic predator, even of hard-shelled benthos as shown by its stomach contents of coarse calcareous remains and detritus (Ref. 11295)."
"531","Semicossyphus pulcher",3671,"VU","Low","fusiform / normal","reef-associated",0,55,53,55.43,91,NA,16000,"commercial","very high","Reliable: based on ex-vessel price for this species","commercial","based mainly on capture","Prefer rocky bottom, particularly in kelp beds.  Often feed on hard-shelled organisms such as sea urchins, mollusks, lobsters and crabs.  Spawning occur during the summer and the eggs are pelagic (Ref. 9311).  Live to more than 50 years of age.  Each individual functions first as a female but changes to a male at a length of about 30 cm.  Pelagic spawners (Ref. 56049).  Flesh is white,  of good quality and marketed fresh (Ref. 9311).  The large teeth can cause serious bite wounds."
"532","Semicossyphus reticulatus",23626,"DD","Very low","fusiform / normal","demersal",NA,NA,NA,67.52,100,NA,14660,NA,"very high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"One of the largest wrasses."
"533","Siphonognathus argyrophanes",12841,"LC","Medium",NA,"demersal",1,40,NA,38.43,40,NA,NA,"of no interest","unknown",NA,"commercial","based mainly on capture","Apparently restricted to areas with thick growths of seagrass such as <i>Posidonia</i>, within embayments and relatively sheltered waters."
"534","Siphonognathus attenuatus",12842,"LC","High",NA,"demersal",15,45,NA,12.47,12,NA,NA,"of no interest","unknown",NA,NA,NA,"Commonly found at some distance from the shore, over sandy areas associated with seagrass and low rocky outcrops.  Form small groups at depths of about 15-20 m."
"535","Siphonognathus beddomei",12843,"LC","High",NA,"demersal",1,20,NA,12.47,12,NA,NA,"of no interest","unknown",NA,"potential","based mainly on capture","Common on rocky reefs with thick growths of brown macroalgae at depths of 10 m; also in areas of only moderate wave action."
"536","Siphonognathus caninis",12844,"LC","High",NA,"demersal",5,25,NA,10.53,10,NA,NA,"of no interest","unknown",NA,NA,NA,"Common along the lower reaches of rocky reefs and drop-offs near the bottom in fine brown and red algae zones or in areas with sparse growths of seagrass."
"537","Siphonognathus radiatus",12845,"LC","High","elongated","reef-associated",1,18,NA,18.35,18,NA,NA,"of no interest","unknown",NA,"commercial","based mainly on capture","A benthic species (Ref. 75154) which is common in soft bottom communities with seagrass."
"538","Siphonognathus tanyourus",12846,"DD","High",NA,"demersal",1,19,NA,11.53,11,NA,NA,"of no interest","unknown",NA,NA,NA,"A benthic species which occurs inshore (Ref. 75154).  Apparently restricted to moderately high-energy coastal locations with dominant stands of brown macroalgae such as <i>Phyllospora comosa</i> and <i>Ecklonia radiata</i>."
"539","Sparisoma amplum",59491,"LC","Medium",NA,"reef-associated",1,30,NA,36.98,39,NA,NA,NA,"high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"Occurs in oceanic islands, dwelling mainly in shallow and turbulent areas on coral, algal and rocky reefs.  Occurs in smaller groups in deeper habitats (Ref. 40827)."
"540","Sparisoma atomarium",3675,"LC","High","fusiform / normal","reef-associated",20,55,NA,12.47,25,NA,NA,NA,"high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","Inhabits deep rocky and coral reefs with steep walls (Ref. 9710).  Generally seen in seagrass beds or on reefs with thick algal cover (Ref. 13442).  A protogynous hermaphrodite (Ref. 55367)."
"541","Sparisoma aurofrenatum",1158,"LC","Medium","fusiform / normal","reef-associated",2,20,NA,22.3,28,20,NA,"minor commercial","high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","Inhabits coral reefs, young usually in adjacent seagrass beds.  Often rests on the bottom (Ref. 9710).  Feeds on plants.  Solitary or in small groups.  A protogynous hermaphrodite (Ref. 55367)."
"542","Sparisoma axillare",59492,"DD","Medium",NA,"reef-associated",1,35,NA,35.25,37,NA,NA,NA,"high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"Occurs in oceanic islands, dwelling in coral, algal and rocky reefs and on algal beds (Ref. 40827).  An herbivore (Ref. 33499), cleaned by <i>Elacatinus figaro</i> observed off the coast of São Paulo, southeastern Brazil (Ref. 40102) and by <i>Pomacanthus paru</i> observed at the reefs of the Abrolhos Archipelago, off eastern Brazil (Ref. 40094)."
"543","Sparisoma choati",66403,"N.E.","High","fusiform / normal","reef-associated",2,30,NA,30.82,31.4,NA,NA,NA,NA,NA,"never/rarely","","Occurs in rocky reefs at  2-30 m depths, where it grazes on algae growing over rocky or calcareous substrate (Ref. 88982) and seagrasses (Ref. 7360). Males usually solitary, but females are often seen in pairs or small groups, juveniles in loose aggregations of up to 10 individuals (Ref. 88982)."
"544","Sparisoma chrysopterum",1159,"LC","High","fusiform / normal","reef-associated",1,15,NA,22.7,46,25,NA,"minor commercial","high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","Occurs in coral reefs and adjacent habitats, the young especially in seagrass beds.  Juveniles or primary-phase adults rapidly assume a mottled pattern with which they blend with the substratum when they come to rest on the bottom.  Feeds on benthic algae and seagrasses."
"545","Sparisoma cretense",13025,"LC","Medium","fusiform / normal","reef-associated",20,50,NA,35.92,50,30,NA,"commercial","very high","Reliable: based on ex-vessel price for this species","never/rarely","","In shallow water along rocky shores.  Feed on algae and small invertebrates (Ref. 6761, 56146). Herbivore species with specialized pharyngeal bones and muscles (Ref. 52194, 52195).  Breeding occurs from July to September, with juveniles recruiting in late summer in Portugal (Ref. 56146)."
"546","Sparisoma frondosum",61101,"DD","High",NA,"reef-associated",5,45,NA,33.87,34.5,NA,NA,NA,"high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"Inhabits coral, algal and rocky reefs and seagrass beds (Ref. 40827)."
"547","Sparisoma griseorubrum",60692,"DD","High",NA,"reef-associated",NA,NA,NA,37.31,NA,NA,NA,NA,"high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,NA
"548","Sparisoma radians",3676,"LC","High","fusiform / normal","reef-associated",1,12,NA,15.77,20,15,NA,"of potential interest","high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","Mostly found in seagrass beds in shallow, protected waters.  Feeds primarily on epiphytes and seagrass blades, leaving crescent bite marks.  Darts into seagrass when frightened (Ref. 9710)."
"549","Sparisoma rocha",65546,"N.E.","High",NA,"reef-associated",10,25,NA,26.92,26.82,NA,NA,NA,NA,NA,"never/rarely",NA,"This species is a scraper and has been recorded to graze upon epilithic algae growing on rocky and calcareous substrata at 10-25 m depth.  The males are solitary, whereas the females may be seen alone or in couples and accompanied by juveniles.  These juveniles are small, about 2-5 cm, and  associate with mixed groups of the labrids <i>Halichoeres penrosei</i>  and <i>Thalassoma noronhanum</i>, which have a similar colour pattern.  This association may be considered as a form of social mimicry (Ref. 84274)."
"550","Sparisoma rubripinne",1160,"LC","High","fusiform / normal","reef-associated",1,15,NA,25.87,47.8,NA,NA,"minor commercial","high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","Inhabits coral reefs and seagrass beds.  Juveniles or primary-phase fish can rapidly assume a mottled pattern as it comes to rest on the bottom.  Spawning is usually a group activity in similarly colored males and females (Ref. 5521).  A protogynous hermaphrodite (Ref. 55367)."
"551","Sparisoma strigatum",22546,"LC","High",NA,"demersal",5,20,NA,22.93,45,NA,NA,NA,"high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"Occasionally occur in groups of up to six individuals (Ref .  7360).  Adults usually found in rocky areas at less than 10 m depth (Ref. 86997). Juveniles occasional amongst weed and rubble patches on sand at 15-18 m depth.  Occasionally eaten (Ref. 5288)."
"552","Sparisoma tuiupiranga",61816,"LC","High",NA,"reef-associated",5,20,NA,15.01,15.4,NA,NA,NA,"high","Very questionable: based on ex-vessel price for species in this family","never/rarely","","Found in shallow areas of tropical rocky reefs.  Males establish territories (approximately 8 m2).  Juveniles are strongly associated with seaweed beds, occasionally found mixed with <i>Sparisoma radians</i> and <i>Cryptotomus roseus</i>.  This species is typically a scraper which grazes upon a large variety of epilithic algae (e.g. <i>Jania, Gelidium, Polysiphonia</i>, consequently ingesting a large quantity of sediment.  It is however, very plastic in its feeding habits and is commonly observed browsing over <i>Sargassum</i>.  Males and larger initial phase adult individuals perform up to 2400 bites daily with a mean gut turnover of about 2.5 guts day-1, having an important role on local energy flux (Ref. 52151)."
"553","Sparisoma viride",1161,"LC","Medium","fusiform / normal","reef-associated",3,50,NA,31.37,64,38,1600,"minor commercial","high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","Inhabits coral reefs with clear water (Ref. 13628).  Young may be found in seagrass beds and other heavily vegetated bottoms.  Feeds mainly on soft algae, but has been observed to graze on live corals like, <i>Montastraea annularis</i> (Ref. 6496).  Produces a significant amount of sediment through bioerosion using its strong beak-like jaws and constantly re-growing teeth (Ref. 6485).  Protogynous; strictly diurnal, spends the night sleeping on the bottom (Ref. 5221).  Found singly or small in small groups."
"554","Stethojulis albovittata",8025,"LC","High","fusiform / normal","reef-associated",2,15,NA,11.7,14,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","Inhabits reef flats and clear lagoon and seaward reefs (Ref. 9710).  Found singly or in small groups consisting of one male and a few females (Ref. 9710).  Feeds on small invertebrates, especially crustaceans and mollusks."
"555","Stethojulis balteata",7828,"LC","High",NA,"reef-associated",2,15,NA,24.47,15,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","Occurs in reef flats and clear lagoon and seaward reefs (Ref. 9710).  Benthopelagic (Ref. 58302).  Feeds primarily on bivalves, polychaete worms, peanut worms, gastropods, various small crustaceans and foraminiferans (Ref. 3921)."
"556","Stethojulis bandanensis",5640,"LC","High","fusiform / normal","reef-associated",3,30,NA,24.47,15,NA,NA,"minor commercial","very high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","Usually found in shallow clear water of reef flats and lagoon and seaward reefs, in areas of mixed sand, rubble and coral (Ref. 9710, 58534).  Usually solitary or in small groups (Ref. 9311).  Feeds mainly on demersal planktonic crustaceans and small benthic invertebrates.  Female length is from Ref. 9137.  Replaced by <i>S. albovittatus </i.> in the Andaman Sea (Ref. 90102)."
"557","Stethojulis interrupta",6633,"LC","High","fusiform / normal","reef-associated",NA,18,NA,23.16,13,NA,NA,"of no interest",NA,NA,"commercial","based mainly on capture","Coastal to outer reef crests.  In Japan, it is found in areas of mixed sand, rock and coral (Ref. 9710).  Occurs in small groups to about 20 m depth (Ref. 48636).  Feeds by sorting small animals from mouthfuls of sand and detritus."
"558","Stethojulis maculata",12783,"LC","High","fusiform / normal","demersal",NA,NA,NA,25.07,16,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family",NA,NA,"Retires in the sand at night."
"559","Stethojulis marquesensis",57372,"LC","High","fusiform / normal","demersal",0,10,NA,19.49,8.54,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"An inshore species; the deepest collection at 10.5 m; difficult to approach underwater (Ref. 36378). Feeds on benthic invertebrates (Ref. 89972)."
"560","Stethojulis notialis",57373,"LC","High",NA,"demersal",0,6,NA,15.77,7.39,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,NA
"561","Stethojulis strigiventer",5641,"LC","High","fusiform / normal","reef-associated",2,15,NA,24.47,15,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","Inhabits seagrass beds and areas of mixed sand, rubble, and algae of inner reef flats and shallow lagoons.  Female length is from Ref. 9137.  Swims in small aggregations over large areas.  Maximum depth reported taken from Ref. 48636."
"562","Stethojulis terina",57374,"LC","High","fusiform / normal","demersal",2,7,NA,26.5,12.6,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"Inhabits coral reefs (Ref. 9137).  Female length is from Ref. 9137."
"563","Stethojulis trilineata",6622,"LC","High","fusiform / normal","reef-associated",0,20,NA,12.72,15,NA,NA,"subsistence fisheries","very high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","Often found on exposed reefs with shallow clear water.  Usually swim in loose groups along upper parts of drop-offs or above reef crests (Ref. 48636).  May also be found solitary or in pairs (Ref. 90102).   Minimum depth reported from Ref. 90102."
"564","Suezichthys arquatus",4412,"LC","High","elongated","reef-associated",13,100,NA,23.46,13.5,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"Occurs inshore (Ref. 75154).  Found in sand patches of shallow reefs but has been reported to occur up to a depth of 100 m (Ref. 530).  Minimum depth from Ref. 58018."
"565","Suezichthys aylingi",4406,"LC","High","elongated","reef-associated",6,100,NA,25.41,11.7,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"Occurs in sand patches adjacent to reef areas in shallow waters.  The species is a facultative cleaner symbiont, removing parasites and damaged scales and skin from other fishes; also feeds on small crustaceans from the bottom and from seaweed fronds."
"566","Suezichthys bifurcatus",59630,"DD","High","elongated","demersal",80,100,NA,15.77,9,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"Occurs over soft bottom of the continental shelf (Ref. 75154)."
"567","Suezichthys caudavittatus",4409,"LC","High","elongated","demersal",50,130,NA,21.88,12,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,NA
